GEO_ID,NAME,Pop_25andover,Pop_25andover_bachelorsorhigher
44003,"Kent County, Rhode Island",126158,44115
44005,"Newport County, Rhode Island",64518,34233
44007,"Providence County, Rhode Island",454914,138409
44009,"Washington County, Rhode Island",92883,46955
